event_type,frame_num,elapsed_us,calculated_timestamp_ms,actual_timestamp_ms,data_size_bytes,fps,audio_samples_total,video_packets_received,audio_packets_received,sequence_errors
video,0,1443,6385631,6385625,368640,59.826,0,13939,970,0
video,0,17146,6385648,6385641,368640,59.826,0,13994,974,0
video,0,33061,6385664,6385657,368640,59.826,0,14053,978,0
video,0,49813,6385681,6385674,368640,59.826,0,14114,982,0
video,0,66411,6385698,6385690,368640,59.826,0,14175,986,0
video,0,83163,6385715,6385707,368640,59.826,0,14233,990,0
video,0,99955,6385731,6385724,368640,59.826,0,14293,994,0
video,0,116770,6385748,6385741,368640,59.826,0,14354,998,0
video,0,132649,6385765,6385757,368640,59.826,0,14413,1003,0
video,0,150558,6385781,6385775,368640,59.826,0,14477,1007,0
video,0,167498,6385798,6385792,368640,59.826,0,14537,1011,0
video,0,183335,6385815,6385807,368640,59.826,0,14594,1015,0
video,0,200116,6385832,6385824,368640,59.826,0,14655,1019,0
video,0,217930,6385848,6385842,368640,59.826,0,14719,1024,0
video,0,234744,6385865,6385859,368640,59.826,0,14780,1028,0
video,0,250460,6385882,6385874,368640,59.826,0,14833,1032,0
video,0,267244,6385898,6385891,368640,59.826,0,14894,1036,0
video,0,284607,6385915,6385909,368640,59.826,0,14955,1041,0
video,0,300963,6385932,6385925,368640,59.826,0,15017,1044,0
video,0,318230,6385949,6385942,368640,59.826,0,15080,1049,0
video,0,334260,6385965,6385958,368640,59.826,0,15133,1053,0
video,0,350457,6385982,6385974,368640,59.826,0,15193,1057,0
video,0,368041,6385999,6385992,368640,59.826,0,15254,1061,0
video,0,384090,6386015,6386008,368640,59.826,0,15313,1065,0
video,0,401418,6386032,6386025,368640,59.826,0,15377,1070,0
video,0,418769,6386049,6386043,368640,59.826,0,15440,1074,0
video,0,435069,6386066,6386059,368640,59.826,0,15498,1078,0
video,0,451350,6386082,6386075,368640,59.826,0,15555,1082,0
video,0,467705,6386099,6386092,368640,59.826,0,15613,1086,0
video,0,485191,6386116,6386109,368640,59.826,0,15675,1091,0
video,0,501565,6386132,6386126,368640,59.826,0,15736,1095,0
video,0,518115,6386149,6386142,368640,59.826,0,15794,1099,0
video,0,534567,6386166,6386159,368640,59.826,0,15853,1103,0
video,0,552052,6386182,6386176,368640,59.826,0,15919,1107,0
video,0,568059,6386199,6386192,368640,59.826,0,15976,1111,0
video,0,584354,6386216,6386208,368640,59.826,0,16033,1115,0
video,0,602149,6386233,6386226,368640,59.826,0,16097,1120,0
video,0,618521,6386249,6386243,368640,59.826,0,16156,1124,0
video,0,634780,6386266,6386259,368640,59.826,0,16213,1128,0
video,0,650860,6386283,6386275,368640,59.826,0,16273,1132,0
video,0,669408,6386299,6386293,368640,59.826,0,16339,1137,0
video,0,684728,6386316,6386309,368640,59.826,0,16393,1140,0
audio,0,696412,6386331,6386320,768,59.826,192,16431,1143,0
audio,0,697708,6386347,6386322,768,59.826,384,16437,1144,0
audio,0,702193,6386363,6386326,768,59.826,576,16449,1145,0
audio,0,705563,6386379,6386330,768,59.826,768,16463,1146,0
audio,0,710054,6386395,6386334,768,59.826,960,16481,1147,0
audio,0,713591,6386411,6386338,768,59.826,1152,16495,1148,0
